Word, Color, Selected Color, Time, Correct?, Trigger?
LIEBEN, green, green, 1.0998139381408691, True, False
PRIMA, blue, blue, 1.0354211330413818, True, False
CAMERA, blue, blue, 0.9353985786437988, True, True
FRIEDEN, blue, blue, 0.934180498123169, True, True
SCHNAPS, blue, blue, 0.7175641059875488, True, True
PARADIES, green, green, 0.7510709762573242, True, True
LACHEN, green, green, 0.6193506717681885, True, True
LEBENDIG, green, green, 0.6847286224365234, True, True
IDYLLE, red, blue, 0.6686985492706299, False, True
TONFALL, red, red, 0.6851449012756348, True, True
GLÜCK, green, green, 0.7523448467254639, True, True
SCHEICH, red, blue, 0.7850463390350342, False, True
SOMMER, green, green, 0.6171219348907471, True, True
BANNER, blue, blue, 1.4700498580932617, True, True
HARMONIE, blue, blue, 1.119433879852295, True, True
LIGHTS, red, green, 1.1355209350585938, False, True
MODERN, green, NA, NA, NA, NA
LACHEN, green, green, 1.854231595993042, True, True
GESUND, red, red, 1.3020131587982178, True, True
SONNE, green, green, 0.8849623203277588, True, True
MANUELL, blue, blue, 1.1855902671813965, True, True
LEINE, red, green, 0.9188437461853027, False, True
SONNE, blue, green, 0.9847285747528076, False, True
PARADIES, green, green, 1.1525835990905762, True, True
GLÜCK, blue, red, 1.1024832725524902, False, True
ACTION, blue, blue, 0.6512539386749268, True, True
SCHWUR, blue, blue, 0.5185699462890625, True, True
AKZENT, red, red, 0.7181870937347412, True, True
GEWALT, blue, blue, 0.6854650974273682, True, False
MORDEN, blue, blue, 0.48291444778442383, True, False
UMRINGEN, green, green, 0.6672401428222656, True, False
KELLER, green, green, 0.4007558822631836, True, False
LACHEN, red, red, 0.6679370403289795, True, False
FREIHEIT, green, green, 0.6172921657562256, True, False
HERZLOS, blue, blue, 0.46687817573547363, True, False
PARADIES, green, green, 0.5356194972991943, True, False
ACTION, blue, red, 0.6722273826599121, False, True
LIEBE, red, red, 0.9521622657775879, True, True
BAZINGA, red, red, 0.6501431465148926, True, True
FRIEDEN, blue, blue, 0.7527132034301758, True, True
DIKTATUR, blue, blue, 0.6180949211120605, True, False
TRAURING, blue, blue, 0.7668547630310059, True, False
ACTION, green, green, 0.6341266632080078, True, True
FASCHISMUS, blue, green, 0.4667339324951172, False, False
MORD, blue, green, 0.45072150230407715, False, False
MITLEID, blue, blue, 0.41579294204711914, True, False
TÖTEN, red, red, 0.4833207130432129, True, False
TOT, blue, blue, 0.4838294982910156, True, False
LACHEN, green, green, 0.8508579730987549, True, False
HEILUNG, blue, blue, 0.5355849266052246, True, False
LEBENDIG, red, red, 0.5357725620269775, True, False
BEWERBER, blue, blue, 0.6009361743927002, True, False
BAZINGA, blue, blue, 0.5001919269561768, True, True
LIGHTS, red, red, 0.6519334316253662, True, True
SCHRAUBE, blue, red, 0.5695409774780273, False, True
HEILUNG, red, blue, 0.5005569458007812, False, True
SOMMER, blue, red, 0.5844991207122803, False, True
PRIMA, green, green, 0.9180278778076172, True, True
BAZINGA, green, green, 0.48233604431152344, True, True
STELLE, blue, blue, 0.5006093978881836, True, True
ATOMBOMBE, green, green, 0.6841907501220703, True, False
LIGHTS, red, red, 1.169206142425537, True, True
GEKICHER, blue, blue, 1.0677235126495361, True, True
CAMERA, red, red, 1.0353634357452393, True, True
CAMERA, red, red, 0.5007264614105225, True, True
LIGHTS, blue, green, 0.7028710842132568, False, True
CAMERA, red, red, 1.0186901092529297, True, True
HERZLOS, red, red, 1.0345723628997803, True, False
GIFT, green, blue, 0.8360230922698975, False, False
TATSACHE, blue, red, 0.8845751285552979, False, False
LIGHTS, blue, red, 0.6510586738586426, False, True
AKZENT, red, green, 0.46674108505249023, False, True
SEX, green, blue, 0.35001301765441895, False, True
FOLTER, blue, red, 0.36681175231933594, False, False
HARMONIE, red, green, 0.3169095516204834, False, False
LIGHTS, blue, green, 0.28409790992736816, False, True
BAZINGA, green, red, 0.28268933296203613, False, True
RAUSCH, green, green, 0.26745152473449707, True, True
BAZINGA, green, green, 0.6534464359283447, True, True
LEBENDIG, green, green, 0.36696934700012207, True, True
ABLAUF, red, red, 0.4670593738555908, True, True
SUPER, green, green, 0.5343954563140869, True, True
ACTION, red, red, 0.48381972312927246, True, True
STELLE, red, red, 0.5511929988861084, True, True
SUPER, red, red, 0.3658719062805176, True, True
BAZINGA, green, green, 0.48422765731811523, True, True
MORDTAT, red, red, 0.78426194190979, True, False
SCHLICHT, blue, blue, 0.568091630935669, True, False
TONFALL, blue, blue, 0.45083165168762207, True, False
SEUCHE, red, red, 0.6354401111602783, True, False
SOMMER, red, red, 0.6002748012542725, True, False
FREUDE, blue, green, 0.5176949501037598, False, False
CAMERA, green, green, 0.8191897869110107, True, True
HAUSFRAU, blue, red, 0.5837497711181641, False, True
HARMONIE, red, red, 0.5671541690826416, True, True
HAUSFRAU, green, blue, 0.3673133850097656, False, True
ABTEI, blue, green, 0.317075252532959, False, True
HYPNOSE, red, red, 0.23333477973937988, True, True
KARTON, red, blue, 0.10099196434020996, False, True
WEBER, blue, red, 0.11690855026245117, False, True
TRAURING, red, green, 0.016016006469726562, False, True
MAGMA, blue, blue, 0.017331361770629883, True, True
FREUDE, green, red, 0.0498652458190918, False, True
GERUCH, red, blue, 0.011076927185058594, False, True
LACHEN, red, green, 0.05203962326049805, False, True
GLÜCK, red, blue, 0.03232574462890625, False, True
TOT, blue, red, 0.05029416084289551, False, False
HEBEN, blue, blue, 0.01102304458618164, True, False
